Accounting Account Number,Custody Fund Number,Fund Name,Trade ID,Trade Date,Settle Date,Security Description,Receive Currency,Receive Amount,Deliver Currency,Deliver Amount,Contract FX Rate,Transaction Type,Executing Broker Name
IMP022Y,882550,GPEGEQFX,907323587_0_0,11/12/2024,12/16/2024,FX FORWARD,GBP,7230472.09,CAD,12855707.07,1.77799,FORWARD,Bank of Montreal
IMP022Y,882550,GPEGEQFX,907325698_0_0,11/12/2024,12/16/2024,FX FORWARD,CAD,7999439.57,AUD,8775221.83,0.911594,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,907325798_0_0,11/12/2024,12/16/2024,FX FORWARD,NOK,9781457.04,CAD,1228271.66,7.9635942,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,907326864_0_0,11/12/2024,12/16/2024,FX FORWARD,CHF,3635915.51,CAD,5759708.3,0.6312673,FORWARD,JP Morgan
IMP022Y,882550,GPEGEQFX,907329197_0_0,11/12/2024,12/16/2024,FX FORWARD,CAD,6754021.34,HKD,37692824.74,5.5807974,FORWARD,CIBC Bank
IMP022Y,882550,GPEGEQFX,907341926_0_0,11/12/2024,12/16/2024,FX FORWARD,CAD,21322597.77,EUR,14414372.71,1.4792595,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,907901948_0_0,11/18/2024,12/16/2024,FX FORWARD,CAD,7608954.62,SEK,59336505.28,7.7982467,FORWARD,JP Morgan
IMP022Y,882550,GPEGEQFX,907910877_0_0,11/18/2024,12/16/2024,FX FORWARD,CAD,3909534.25,HKD,21672675.13,5.543544,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,908401706_0_0,11/22/2024,12/16/2024,FX FORWARD,GBP,4024974.85,CAD,7045191.2,1.750369,FORWARD,Bank of Montreal
IMP022Y,882550,GPEGEQFX,908900605_0_0,11/28/2024,12/16/2024,FX FORWARD,CAD,5167186.28,CHF,3254288.75,0.629799,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,908902215_0_0,11/28/2024,12/16/2024,FX FORWARD,CAD,5723497.67,AUD,6288320.95,0.910179,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,908903913_0_0,11/28/2024,12/16/2024,FX FORWARD,SEK,63819490.39,CAD,8186563.08,7.795639,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,908905132_0_0,11/28/2024,12/16/2024,FX FORWARD,CAD,11186585.72,GBP,6299934.46,1.775667,FORWARD,Bank of Montreal
IMP022Y,882550,GPEGEQFX,908912174_0_0,11/28/2024,12/16/2024,FX FORWARD,CAD,6228598.92,DKK,31410908.45,5.0430135,FORWARD,JP Morgan
IMP022Y,882550,GPEGEQFX,908922185_0_0,11/28/2024,12/16/2024,FX FORWARD,NZD,544514.61,CAD,449106.67,0.8247835,FORWARD,TD Bank
IMAD240,IMAD240,OPBIILFX,908409216_0_2,11/22/2024,12/31/2024,FX FORWARD,CAD,1028090738,USD,736358682.2,1.396182,FORWARD,Royal Bank of Canada
IMAD240,IMAD240,OPBIILFX,908590395_0_2,11/25/2024,12/31/2024,FX FORWARD,CAD,1028844033,USD,736358682.2,1.397205,FORWARD,Bank of Montreal
IMAD240,IMAD240,OPBIILFX,908716985_0_2,11/26/2024,12/31/2024,FX FORWARD,CAD,1033924907,USD,736358682.2,1.404105,FORWARD,TD Bank
IMAD240,IMAD240,OPBIILFX,908719571_0_2,11/26/2024,12/31/2024,FX FORWARD,CAD,1033961725,USD,736358682.2,1.404155,FORWARD,TD Bank
IMAD240,IMAD240,OPBIILFX,908836162_0_2,11/27/2024,12/31/2024,FX FORWARD,CAD,1031756331,USD,736358682.2,1.40116,FORWARD,JP Morgan
IMAD240,IMAD240,OPBIILFX,909049646_0_2,11/29/2024,12/31/2024,FX FORWARD,CAD,2916554.79,USD,2085355.16,1.398589,FORWARD,Royal Bank of Canada
IMAD240,IMAD240,OPBIILFX,909463494_0_2,12/04/2024,12/12/2024,FX FORWARD,CAD,1406.16,USD,1000,1.406161,FORWARD,IMROCATB
IMAD230,IMAD230,OPBIRPFX,908409215_0_2,11/22/2024,12/31/2024,FX FORWARD,USD,255643033.2,CAD,356924201.4,1.396182,FORWARD,Royal Bank of Canada
IMAD230,IMAD230,OPBIRPFX,908590396_0_2,11/25/2024,12/31/2024,FX FORWARD,USD,255643033.2,CAD,357185724.2,1.397205,FORWARD,Bank of Montreal
IMAD230,IMAD230,OPBIRPFX,908716986_0_2,11/26/2024,12/31/2024,FX FORWARD,USD,255643033.2,CAD,358949661.1,1.404105,FORWARD,TD Bank
IMAD230,IMAD230,OPBIRPFX,908719570_0_2,11/26/2024,12/31/2024,FX FORWARD,USD,255643033.2,CAD,358962443.3,1.404155,FORWARD,TD Bank
IMAD230,IMAD230,OPBIRPFX,908836161_0_2,11/27/2024,12/31/2024,FX FORWARD,USD,255643033.2,CAD,358196792.4,1.40116,FORWARD,JP Morgan
IMAD230,IMAD230,OPBIRPFX,909049647_0_2,11/29/2024,12/31/2024,FX FORWARD,USD,4136879.05,CAD,5785793.53,1.398589,FORWARD,Royal Bank of Canada
IMAD230,IMAD230,OPBIRPFX,909463495_0_2,12/04/2024,12/12/2024,FX FORWARD,USD,1000,CAD,1406.16,1.406161,FORWARD,IMROCATB
IMAC120,160162,OPB TPM AAA IMCO,908815524F_0_1,11/27/2024,12/31/2024,FX FORWARD,USD,236394266.5,CAD,331895635.3,1.4039919,FORWARD,JP Morgan
